9th,"{9th}","{9th}","{12th, 9th, 11th, 10th}","{12th, 9th, 11th, 10th}","{7th-8th, 5th-6th, 10th, 12th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, Doctorate, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}",*
Some-college,"{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college, Prof-school}","{Some-college, HS-grad, Prof-school}","{HS-grad, Assoc-voc, Prof-school, Some-college, Assoc-acdm}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, Doctorate, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}",*
Prof-school,"{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Some-college, Prof-school}","{Some-college, HS-grad, Prof-school}","{HS-grad, Assoc-voc, Prof-school, Some-college, Assoc-acdm}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, Doctorate, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}",*
12th,"{12th, 11th}","{12th, 10th, 11th}","{12th, 9th, 11th, 10th}","{12th, 9th, 11th, 10th}","{7th-8th, 5th-6th, 10th, 12th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, Doctorate, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}",*
1st-4th,"{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, Doctorate, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}",*
Preschool,"{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}",*
Assoc-voc,"{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc, Assoc-acdm}","{Assoc-voc, Assoc-acdm}","{Assoc-voc, Assoc-acdm}","{HS-grad, Assoc-voc, Prof-school, Some-college, Assoc-acdm}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, Doctorate, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}",*
Assoc-acdm,"{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-voc, Assoc-acdm}","{Assoc-voc, Assoc-acdm}","{Assoc-voc, Assoc-acdm}","{HS-grad, Assoc-voc, Prof-school, Some-college, Assoc-acdm}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, Doctorate, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}",*
Doctorate,"{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, Doctorate, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}",*
11th,"{12th, 11th}","{12th, 10th, 11th}","{12th, 9th, 11th, 10th}","{12th, 9th, 11th, 10th}","{7th-8th, 5th-6th, 10th, 12th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, Doctorate, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}",*
Masters,"{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, Doctorate, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}",*
Bachelors,"{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, Doctorate, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}",*
HS-grad,"{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{Some-college, HS-grad, Prof-school}","{HS-grad, Assoc-voc, Prof-school, Some-college, Assoc-acdm}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, Doctorate, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}",*
10th,"{10th}","{12th, 10th, 11th}","{12th, 9th, 11th, 10th}","{12th, 9th, 11th, 10th}","{7th-8th, 5th-6th, 10th, 12th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, Doctorate, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}",*
5th-6th,"{5th-6th}","{5th-6th}","{5th-6th}","{7th-8th, 5th-6th}","{7th-8th, 5th-6th, 10th, 12th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, Doctorate, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}",*
7th-8th,"{7th-8th}","{7th-8th}","{7th-8th}","{7th-8th, 5th-6th}","{7th-8th, 5th-6th, 10th, 12th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{7th-8th, 10th, 5th-6th, 12th, 1st-4th, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}","{HS-grad, Assoc-voc, Prof-school, 7th-8th, Doctorate, 10th, 5th-6th, Masters, 12th, Some-college, 1st-4th, Assoc-acdm, 11th, Bachelors, 9th}",*
